rank_test_score,mean_test_score,param_clf__class_weight,param_clf__max_depth,param_clf__n_estimators
1,0.7338,balanced_subsample,30,500
2,0.7338,balanced_subsample,30,800
3,0.7337,balanced,30,800
4,0.733,balanced,30,500
5,0.7274,balanced_subsample,30,200
6,0.7268,balanced,20,800
7,0.726,balanced_subsample,20,800
8,0.7255,balanced,30,200
9,0.7253,balanced_subsample,20,200
10,0.7248,balanced_subsample,20,500
11,0.7246,balanced,20,500
12,0.7217,balanced,20,200
13,0.6983,balanced_subsample,10,800
14,0.697,balanced,10,800
15,0.6961,balanced_subsample,10,500
16,0.6957,balanced,10,500
17,0.689,balanced,10,200
18,0.6874,balanced_subsample,10,200
19,0.5832,,30,800
20,0.5819,,30,500
21,0.5814,,30,200
22,0.5104,,20,200
23,0.5072,,20,800
24,0.5068,,20,500
25,0.3113,,10,500
26,0.3097,,10,200
27,0.3094,,10,800
