rank_test_score,mean_test_score,param_clf__C,param_clf__class_weight,param_clf__solver
1,0.8365,10.0,balanced,lbfgs
2,0.8351,10.0,balanced,saga
3,0.8335,3.1622776601683795,balanced,lbfgs
4,0.8244,1.0,balanced,lbfgs
5,0.8236,10.0,,saga
6,0.8234,10.0,,lbfgs
7,0.8179,3.1622776601683795,balanced,saga
8,0.8142,3.1622776601683795,,saga
9,0.8141,3.1622776601683795,,lbfgs
10,0.8027,0.31622776601683794,balanced,lbfgs
11,0.7958,0.31622776601683794,balanced,saga
12,0.7796,1.0,balanced,saga
13,0.7747,0.1,balanced,lbfgs
14,0.7747,1.0,,lbfgs
15,0.7744,0.1,balanced,saga
16,0.7739,1.0,,saga
17,0.7404,0.03162277660168379,balanced,saga
18,0.7401,0.03162277660168379,balanced,lbfgs
19,0.7104,0.01,balanced,saga
20,0.71,0.01,balanced,lbfgs
21,0.6674,0.31622776601683794,,saga
22,0.667,0.31622776601683794,,lbfgs
23,0.4377,0.1,,lbfgs
24,0.4377,0.1,,saga
25,0.2134,0.03162277660168379,,saga
26,0.2133,0.03162277660168379,,lbfgs
27,0.1578,0.01,,lbfgs
28,0.1578,0.01,,saga
