rank_test_score,mean_test_score,param_clf__class_weight,param_clf__max_depth,param_clf__n_estimators
1,0.744,balanced_subsample,30,500
2,0.7422,balanced,30,800
3,0.7421,balanced_subsample,30,800
4,0.7406,balanced,30,500
5,0.74,balanced_subsample,30,200
6,0.7386,balanced,30,200
7,0.7338,balanced,20,800
8,0.7336,balanced,20,500
9,0.7296,balanced_subsample,20,500
10,0.7291,balanced_subsample,20,800
11,0.7289,balanced,20,200
12,0.7285,balanced_subsample,20,200
13,0.7054,balanced_subsample,10,500
14,0.7053,balanced_subsample,10,800
15,0.7027,balanced,10,800
16,0.7014,balanced,10,500
17,0.6964,balanced_subsample,10,200
18,0.6915,balanced,10,200
19,0.6017,,30,800
20,0.6012,,30,500
21,0.5974,,30,200
22,0.5242,,20,200
23,0.5231,,20,500
24,0.5216,,20,800
25,0.3231,,10,200
26,0.3157,,10,500
27,0.3125,,10,800
